fold,splitter,train_samples,val_samples,train_subjects,val_subjects,num_classes,val_loss,f1_macro,accuracy,auc_macro_ovr,top_2_accuracy,top_3_accuracy
1,StratifiedGroupKFold,8026,1928,24,6,9,2.0807073981930113,0.09726014510444227,0.2505186721991701,0.5730270644547791,0.4118257261410788,0.5383817427385892
2,StratifiedGroupKFold,8029,1925,24,6,9,2.08462681324451,0.10216157425290019,0.24051948051948052,0.5663400722223092,0.43116883116883115,0.5672727272727273
3,StratifiedGroupKFold,7704,2250,24,6,9,2.0492202559577093,0.10619979584697622,0.296,0.6035769764518929,0.4613333333333333,0.5822222222222222
4,StratifiedGroupKFold,8029,1925,24,6,9,2.0895037205188305,0.10132177175752761,0.24935064935064935,0.5936911294151169,0.45766233766233766,0.5833766233766233
5,StratifiedGroupKFold,8028,1926,24,6,9,2.075962688816423,0.10601597999465422,0.2538940809968847,0.588924913219691,0.46261682242990654,0.5830737279335411
