1639005065.000000, 1639005065.000000, 1639005065.000000
32.000000, 32.000000, 32.000000
10,-4,62
10,-3,63
11,-3,66
12,-1,63
8,-2,63
9,-2,67
5,-3,64
5,-3,65
4,0,66
6,-1,64
11,-5,59
10,-3,61
10,-3,61
15,-6,58
15,-6,56
15,-7,58
17,-3,60
20,1,62
18,0,62
16,-4,58
16,-5,58
13,-4,62
21,-2,62
16,6,64
8,14,63
19,4,63
13,2,61
15,1,60
10,2,57
12,0,59
15,-4,66
9,1,65
10,4,67
17,3,65
18,7,62
14,8,61
16,1,61
17,5,61
18,7,63
10,3,66
9,-10,66
8,-13,66
8,-11,61
10,-8,63
11,-9,59
11,-4,62
11,-5,61
11,-3,60
12,-1,62
10,-2,61
11,-2,60
10,0,62
10,-1,62
9,-1,64
13,0,65
12,-1,62
11,0,63
9,-1,62
12,1,63
10,-1,62
10,0,62
11,-1,62
11,-3,61
13,-4,61
12,-3,63
10,-5,58
10,-4,64
10,-12,59
13,-10,58
14,-1,63
17,1,66
16,-2,63
15,-7,61
12,-5,64
8,-8,65
28,-18,59
12,-11,64
13,-9,63
13,-7,61
7,-7,61
6,-9,61
9,-9,60
4,-4,64
3,-11,66
8,-12,64
10,-14,58
9,-13,59
7,-18,63
6,-17,63
7,-15,61
7,-10,62
7,-11,61
6,-17,60
3,-9,59
3,-2,63
-2,-11,63
3,-12,64
2,-11,64
-1,-3,63
2,-8,58
1,-8,59
0,-11,58
3,-17,60
-1,-13,58
0,-18,64
2,-18,64
2,-21,64
5,-12,59
-1,-13,63
-1,-25,64
2,-19,59
3,-20,59
-1,-11,63
2,-11,59
10,-23,62
9,-1,62
7,-2,64
11,-4,65
15,-4,60
9,1,59
5,-2,55
17,-13,47
26,-11,51
26,-1,61
24,-1,51
30,15,83
23,1,59
20,-9,55
25,-3,59
21,2,65
21,-8,63
21,-8,61
20,-8,58
14,-5,53
13,-6,54
12,-10,62
5,-3,65
10,-1,72
0,-11,66
2,-13,65
4,-8,65
13,-10,66
5,-7,61
3,-16,62
1,-11,59
6,-13,62
7,-10,60
9,-13,65
8,-12,62
8,-8,64
3,-5,63
3,-2,65
5,-6,66
5,-13,65
7,-11,66
5,1,67
10,-2,66
9,-4,59
18,-12,57
17,-10,59
15,-8,59
16,-14,61
10,-13,60
16,-11,63
9,-15,60
12,-19,59
12,-5,63
11,-10,62
17,-9,61
2,-7,57
5,-1,66
1,-1,62
-8,-5,64
0,-14,63
12,-8,57
29,-5,76
18,-18,58
21,-7,63
13,-2,57
12,-2,58
12,-5,64
9,-2,62
13,-7,63
9,-8,61
6,-4,51
9,-15,50
19,8,77
14,-1,61
15,-1,60
27,-4,64
15,2,56
16,-9,57
8,-1,63
13,-5,62
25,22,63
1,14,49
7,16,57
11,16,62
15,17,58
17,15,57
13,18,64
13,19,57
15,17,59
16,9,60
16,11,61
15,15,63
12,17,59
15,11,58
13,13,58
11,15,56
12,8,55
9,10,52
22,19,64
18,17,61
23,19,64
17,10,59
19,8,60
18,3,66
18,7,63
20,1,62
21,6,59
17,1,56
14,9,57
20,8,54
21,6,63
18,8,60
21,18,59
26,16,64
23,15,62
19,21,57
22,20,58
22,14,59
19,15,59
19,13,58
17,9,58
19,9,61
20,9,60
20,1,61
22,0,62
20,4,58
18,7,58
21,3,56
20,0,59
24,1,61
24,4,59
25,0,54
28,-8,56
28,-10,59
28,2,56
30,-1,54
28,6,59
24,3,57
26,8,58
28,3,58
30,-2,59
29,-2,59
24,4,56
24,-6,63
27,-9,59
20,-4,57
21,1,53
22,-3,56
23,0,58
21,2,54
22,4,55
27,6,56
24,12,56
22,19,62
23,14,59
23,14,60
24,15,58
24,13,60
24,13,61
23,15,59
21,17,57
21,15,58
20,15,56
19,18,57
19,15,56
20,17,57
20,16,57
21,17,58
20,16,58
19,16,57
19,15,58
20,17,58
19,16,59
20,17,60
19,18,59
18,17,59
19,17,58
18,18,58
17,18,58
18,18,58
17,19,58
17,18,58
16,18,58
15,19,59
16,18,60
15,18,60
15,17,57
15,17,57
15,17,58
16,19,58
16,20,59
15,21,58
16,20,58
15,19,59
14,19,60
14,19,59
14,20,60
13,20,60
13,20,61
13,21,60
12,22,59
12,21,58
12,20,60
10,20,59
